"reaction","days","subj"
258.23067897503597,0,"S000001"
256.8585799484295,1,"S000001"
256.71031262983314,2,"S000001"
278.756010513887,3,"S000001"
299.81367533917665,4,"S000001"
342.7008608123145,5,"S000001"
283.86426313860966,6,"S000001"
267.16790688291144,7,"S000001"
383.9359056364081,8,"S000001"
349.9919811192111,9,"S000001"
240.61641966901408,0,"S000002"
226.136239501623,1,"S000002"
227.41230525843454,2,"S000002"
258.8487963153393,3,"S000002"
246.72195910327454,4,"S000002"
288.00877892070605,5,"S000002"
295.4676944790284,6,"S000002"
282.175662284592,7,"S000002"
288.77674489631164,8,"S000002"
243.18011860989634,9,"S000002"
250.16506081768935,0,"S000003"
229.2990362349218,1,"S000003"
250.73583197966823,2,"S000003"
269.58519082007126,3,"S000003"
267.774949916578,4,"S000003"
292.8192221854871,5,"S000003"
314.62364900395346,6,"S000003"
347.0993383887664,7,"S000003"
312.2654117419582,8,"S000003"
283.72163415654666,9,"S000003"
217.28010411276617,0,"S000004"
256.4600122658717,1,"S000004"
300.16668786700995,2,"S000004"
294.8257719555165,3,"S000004"
286.17131056730574,4,"S000004"
253.95941675573835,5,"S000004"
270.14511503894414,6,"S000004"
305.5422835761165,7,"S000004"
323.99944931112645,8,"S000004"
353.6575633038878,9,"S000004"
304.77504393651424,0,"S000005"
319.07383249982627,1,"S000005"
321.6120265453295,2,"S000005"
302.4251814056162,3,"S000005"
330.2233866153784,4,"S000005"
337.02974746890425,5,"S000005"
334.0472256202189,6,"S000005"
337.8503516241484,7,"S000005"
390.2792899626158,8,"S000005"
389.4443764465398,9,"S000005"
272.362730757,0,"S000006"
280.7751927867401,1,"S000006"
257.7299265103852,2,"S000006"
262.45455504884,3,"S000006"
258.11247845923083,4,"S000006"
291.8546655632046,5,"S000006"
305.8985819254826,6,"S000006"
270.28646640771836,7,"S000006"
294.9293836340506,8,"S000006"
303.48190457387983,9,"S000006"
288.1089234514972,0,"S000007"
298.7390005846461,1,"S000007"
348.70543045642677,2,"S000007"
298.9166691111132,3,"S000007"
337.93284172898655,4,"S000007"
371.7381748639017,5,"S000007"
349.94446549609273,6,"S000007"
359.7898358611488,7,"S000007"
371.6829601971131,8,"S000007"
423.23522556178966,9,"S000007"
241.69290264211,0,"S000008"
278.4828587708014,1,"S000008"
308.9314340892301,2,"S000008"
321.74825965490186,3,"S000008"
312.14962971561414,4,"S000008"
380.3332455464017,5,"S000008"
353.1798623550276,6,"S000008"
369.34398948731376,7,"S000008"
390.853786564785,8,"S000008"
363.67001134136314,9,"S000008"
248.55916544652547,0,"S000009"
232.02581179399013,1,"S000009"
253.1502994498345,2,"S000009"
256.9117025140111,3,"S000009"
340.6096662869476,4,"S000009"
348.6370780806291,5,"S000009"
337.5954125560913,6,"S000009"
324.3648078158976,7,"S000009"
433.3073320587845,8,"S000009"
369.7901573226474,9,"S000009"
257.3333370136609,0,"S000010"
260.65350271825537,1,"S000010"
237.16852664533707,2,"S000010"
279.50371043570016,3,"S000010"
275.0980053125409,4,"S000010"
317.6709262934569,5,"S000010"
299.840869208409,6,"S000010"
326.06580494258,7,"S000010"
274.8007427581388,8,"S000010"
375.2223291336522,9,"S000010"
262.2088465193207,0,"S000011"
216.23041296309304,1,"S000011"
322.320582065115,2,"S000011"
313.0863011938889,3,"S000011"
300.1950927189803,4,"S000011"
326.9752668042032,5,"S000011"
320.89854622016327,6,"S000011"
381.68192135093136,7,"S000011"
395.0773975083877,8,"S000011"
391.6978697764351,9,"S000011"
288.61313034167847,0,"S000012"
212.85181215107775,1,"S000012"
244.4468562436298,2,"S000012"
213.88408950127075,3,"S000012"
278.40013323568377,4,"S000012"
242.6861183040181,5,"S000012"
276.9761281660128,6,"S000012"
321.9350466657603,7,"S000012"
299.87883055439124,8,"S000012"
306.1337354597261,9,"S000012"
216.8881239392474,0,"S000013"
224.14315931627502,1,"S000013"
253.10450116996182,2,"S000013"
267.3874287815742,3,"S000013"
266.62903262067755,4,"S000013"
300.9845006250549,5,"S000013"
297.80097858977877,6,"S000013"
299.09602424600394,7,"S000013"
280.02449131527663,8,"S000013"
344.7438726893092,9,"S000013"
240.78198676412086,0,"S000014"
287.97980375559393,1,"S000014"
240.9940079850776,2,"S000014"
248.8084706475587,3,"S000014"
224.8021065324958,4,"S000014"
291.0290989330619,5,"S000014"
266.4427017076057,6,"S000014"
229.66468544969638,7,"S000014"
328.5215010025375,8,"S000014"
301.8843041358315,9,"S000014"
254.02647858744697,0,"S000015"
258.51549575220395,1,"S000015"
227.65038481278035,2,"S000015"
226.78822652711986,3,"S000015"
272.22351439935153,4,"S000015"
250.28102639959448,5,"S000015"
246.20082976473955,6,"S000015"
225.73147624879607,7,"S000015"
253.93549506265163,8,"S000015"
279.589673665922,9,"S000015"
291.63921271753236,0,"S000016"
247.40158041669125,1,"S000016"
250.44304603220155,2,"S000016"
242.93958945802075,3,"S000016"
323.31084997364076,4,"S000016"
305.8846145151411,5,"S000016"
350.52923963437354,6,"S000016"
332.88137614225684,7,"S000016"
365.5606301281256,8,"S000016"
386.3473240551988,9,"S000016"
303.89924102433366,0,"S000017"
300.9216565849598,1,"S000017"
282.2429258206924,2,"S000017"
277.68808295811925,3,"S000017"
342.2239035206272,4,"S000017"
372.73129771854826,5,"S000017"
330.08733581546744,6,"S000017"
