method,scenario,family,formula,reml,seed,n,p,q,n_reterms,d_theta,total_n,reps,optimizer,backend,status,median_ms,mean_ms,min_ms,build_ms_median,optimizer_ms_median,postfit_ms_median,objective,reference_objective,objective_gap,objective_tolerance,objective_pass,feval_median,feval_mean,julia_median_ms,julia_feval,julia_speedup,theta,fixed_effects,variance_components,residual_sd
rust_default_nlopt,vector_180,vector,reaction ~ 1 + days + (1 + days | subj),true,42,180,2,36,1,3,180,5,bobyqa,nlopt,FTOL_REACHED,0.156375,0.157050,0.151084,0.030209,0.094250,0.029958,1714.682305217,1714.682305000,0.000000217,0.001715682,true,69.0,69.0,0.662000,,4.233413,"[0.6114243893456621,0.1389703153877534,0.0]","[250.91213324424552,10.268777332141385]","[236.41254394969917,12.213189217097705]",25.147366
rust_default_nlopt,vector_1000,vector,reaction ~ 1 + days + (1 + days | subj),true,42,1000,2,200,1,3,1000,5,bobyqa,nlopt,FTOL_REACHED,0.573166,0.580141,0.571458,0.097958,0.344750,0.131125,9688.227799026,9688.227799000,0.000000026,0.009689228,true,67.0,67.0,1.970000,,3.437050,"[0.8446621882428013,0.06036436625033072,0.1755776060039609]","[250.2081915486575,9.794158136062057]","[468.0321584667154,22.61350653224921]",25.612666
rust_default_nlopt,vector_5000,vector,reaction ~ 1 + days + (1 + days | subj),true,42,5000,2,1000,1,3,5000,5,bobyqa,nlopt,FTOL_REACHED,1.356750,1.333900,1.283541,0.488333,0.584125,0.253125,48470.192829677,48470.192830000,-0.000000323,0.048471193,true,48.0,48.0,8.152000,,6.008476,"[0.9484179185334062,0.07151011816649955,0.21056735770859972]","[249.7467176896205,10.019365119062094]","[564.8092846352347,31.051951673152764]",25.058275
rust_default_nlopt,vector_10000,vector,reaction ~ 1 + days + (1 + days | subj),true,42,10000,2,2000,1,3,10000,5,bobyqa,nlopt,FTOL_REACHED,2.487959,2.504309,2.456000,1.000167,0.997500,0.513458,97060.632679716,97060.632680000,-0.000000284,0.097061633,true,39.0,39.0,16.675000,,6.702281,"[0.9929015846283922,0.057551722101897254,0.20824507220443475]","[249.39878523442036,10.065778330529144]","[624.765728342341,29.58141823116635]",25.174010
rust_default_nlopt,vector_deep_200x50,vector,reaction ~ 1 + days + (1 + days | subj),true,42,10000,2,400,1,3,10000,5,bobyqa,nlopt,FTOL_REACHED,1.660708,1.671966,1.635666,0.846791,0.521000,0.276166,94841.024279643,94841.024280000,-0.000000357,0.094842024,true,47.0,47.0,4.278000,,2.576010,"[0.9840286062894963,0.09165176761010188,0.22479093570478612]","[252.3646230969308,9.695321963605823]","[607.6746878276664,36.982783300094816]",25.051161
rust_default_nlopt,scalar_180,scalar,reaction ~ 1 + days + (1 | subj),true,42,180,2,18,1,1,180,5,pattern_search,native,SUCCESS,0.033625,0.034950,0.032792,0.024125,0.004750,0.004458,1738.321579656,1738.321580000,-0.000000344,0.001739322,true,23.0,23.0,0.286000,,8.505576,[1.1366292637106572],"[250.9121332442455,10.268777332141461]",[955.670625002479],27.197895
rust_default_nlopt,scalar_1000,scalar,reaction ~ 1 + days + (1 | subj),true,42,1000,2,100,1,1,1000,5,pattern_search,native,SUCCESS,0.113083,0.113192,0.111500,0.090541,0.015791,0.006333,9861.362625400,9861.362625000,0.000000400,0.009862363,true,23.0,23.0,0.349000,,3.086229,[1.1834226681206668],"[250.20819154865876,9.794158136062864]",[1206.459355124885],29.350565
rust_default_nlopt,scalar_5000,scalar,reaction ~ 1 + days + (1 | subj),true,42,5000,2,500,1,1,5000,5,pattern_search,native,SUCCESS,0.567583,0.561100,0.536500,0.476000,0.068833,0.016958,49709.499919363,49709.499919000,0.000000363,0.049710500,true,23.0,23.0,0.663000,,1.168111,[1.3028733515212623],"[249.74671768967897,10.019365119061826]",[1548.2497961098532],30.200791
rust_default_nlopt,scalar_10000,scalar,reaction ~ 1 + days + (1 | subj),true,42,10000,2,1000,1,1,10000,5,pattern_search,native,SUCCESS,0.948375,0.953567,0.935917,0.794708,0.124042,0.028625,99333.616318731,99333.616319000,-0.000000269,0.099334616,true,23.0,23.0,1.153000,,1.215764,[1.2973228293123982],"[249.3987852344774,10.065778330546445]",[1522.5827651590316],30.077546
rust_default_nlopt,scalar_deep_200x50,scalar,reaction ~ 1 + days + (1 | subj),true,42,10000,2,200,1,1,10000,5,pattern_search,native,SUCCESS,0.750500,0.832491,0.738958,0.712083,0.028084,0.008917,119792.696381879,119792.696382000,-0.000000121,0.119793696,true,24.0,24.0,0.948000,,1.263158,[1.7347573251557762],"[252.36462309680576,9.695321963697548]",[25418.231426239032],91.903899
rust_default_nlopt,crossed_small,crossed,reaction ~ 1 + days + (1 + days | subj) + (1 + days | item) + (1 + days | site),true,0,864,2,72,3,9,864,5,newuoa,nlopt,FTOL_REACHED,6.705625,6.687500,6.577375,0.209250,4.048542,2.376541,6177.391784719,6177.391766000,0.000018719,0.006178392,true,268.0,268.0,8.572000,320.000000,1.278330,"[1.6353189294133077,0.19977827311186763,0.1653198673516118,1.398367757710384,-0.07654153552405608,0.1949329769916313,0.627853517417752,-0.0364969501191672,0.11323987828914367]","[245.75724198494538,9.440019482250477]","[158.20864021155134,3.9780112026797605,115.68260872876304,2.5945907568944464,23.32071885593268,0.8374218115603345]",7.691528
rust_default_nlopt,crossed_medium,crossed,reaction ~ 1 + days + (1 + days | subj) + (1 + days | item) + (1 + days | site),true,0,3456,2,136,3,9,3456,5,newuoa,nlopt,FTOL_REACHED,30.365583,30.436258,30.326750,0.732250,20.968084,8.694250,24348.710146217,24348.710133000,0.000013217,0.024349710,true,412.0,412.0,88.007000,411.000000,2.898248,"[1.7692431504236088,0.04850654890561834,0.24403237883458784,1.4417437751578432,-0.015067701551951498,0.17693883027593568,0.5589432677181364,0.013992350181692393,0.07153088732081699]","[247.80248699329277,9.582626465373595]","[181.99376854693597,3.5991919243146095,120.85305747827779,1.8334363679713148,18.16422744698391,0.3088706418597726]",7.625016
rust_default_nlopt,crossed_large,crossed,reaction ~ 1 + days + (1 + days | subj) + (1 + days | item) + (1 + days | site),true,0,10368,2,240,3,9,10368,5,newuoa,nlopt,FTOL_REACHED,96.693333,97.333816,95.336416,2.144958,64.540209,29.575375,72320.124630532,72320.124564000,0.000066532,0.072321125,true,408.0,408.0,187.519000,408.000000,1.939317,"[1.753387039720978,0.10339573722240122,0.2372207190754731,1.423513344827963,-0.03428645449065716,0.19171086588732875,0.5690451561939962,0.023234742830975402,0.07298893413484099]","[249.38861377387713,9.482306877212022]","[174.59383119121117,3.8029179525789187,115.07908401801222,2.153973315216056,18.389366678493033,0.333201539963761]",7.535927
