method,scenario,family,formula,reml,seed,n,p,q,n_reterms,d_theta,total_n,reps,optimizer,backend,status,median_ms,mean_ms,min_ms,build_ms_median,optimizer_ms_median,postfit_ms_median,objective,reference_objective,objective_gap,objective_tolerance,objective_pass,feval_median,feval_mean,julia_median_ms,julia_feval,julia_speedup,theta,fixed_effects,variance_components,residual_sd
rust_no_default_native,vector_180,vector,reaction ~ 1 + days + (1 + days | subj),true,42,180,2,36,1,3,180,5,trust_bq,native,FTOL_REACHED,0.275292,0.265750,0.226417,0.036708,0.196291,0.040333,1714.682305254,1714.682305000,0.000000254,0.001715682,true,197.0,197.0,0.662000,,2.404719,"[0.6114040845702396,0.13897588043100326,0.0]","[250.91213324424453,10.2687773321414]","[236.39653327668827,12.21415142676454]",25.147349
rust_no_default_native,vector_1000,vector,reaction ~ 1 + days + (1 + days | subj),true,42,1000,2,200,1,3,1000,5,trust_bq,native,FTOL_REACHED,0.795708,0.793808,0.782584,0.107542,0.582166,0.104917,9688.227799007,9688.227799000,0.000000007,0.009689228,true,166.0,166.0,1.970000,,2.475783,"[0.8446517527465801,0.06036721324427562,0.17557757304464294]","[250.20819154864026,9.79415813606267]","[468.02102398254704,22.61374520977282]",25.612678
rust_no_default_native,vector_5000,vector,reaction ~ 1 + days + (1 + days | subj),true,42,5000,2,1000,1,3,5000,5,trust_bq,native,FTOL_REACHED,2.725416,2.722333,2.707416,0.477833,2.000000,0.246208,48470.192811274,48470.192830000,-0.000018726,0.048471193,true,176.0,176.0,8.152000,,2.991103,"[0.948332891639057,0.07147077836796234,0.21060236971045773]","[249.74671768967113,10.019365119066086]","[564.7061179686948,31.057574538053878]",25.058232
rust_no_default_native,vector_10000,vector,reaction ~ 1 + days + (1 + days | subj),true,42,10000,2,2000,1,3,10000,5,trust_bq,native,FTOL_REACHED,4.816250,4.831342,4.783041,1.004500,3.333542,0.480083,97060.632671066,97060.632680000,-0.000008934,0.097061633,true,145.0,145.0,16.675000,,3.462237,"[0.9928165234664229,0.05756590283887298,0.20824129910490372]","[249.39878523449445,10.065778330565148]","[624.6665794278952,29.581830674399413]",25.174169
rust_no_default_native,vector_deep_200x50,vector,reaction ~ 1 + days + (1 + days | subj),true,42,10000,2,400,1,3,10000,5,trust_bq,native,FTOL_REACHED,2.499875,2.506542,2.472000,0.901750,1.397625,0.198833,94841.024271220,94841.024280000,-0.000008780,0.094842024,true,197.0,197.0,4.278000,,1.711286,"[0.9841095906395445,0.09162309226974814,0.2247794141933292]","[252.36462309702324,9.695321963716887]","[607.7742329480823,36.976205331029526]",25.051151
rust_no_default_native,scalar_180,scalar,reaction ~ 1 + days + (1 | subj),true,42,180,2,18,1,1,180,5,pattern_search,native,SUCCESS,0.033292,0.034009,0.032459,0.024125,0.004583,0.004292,1738.321579656,1738.321580000,-0.000000344,0.001739322,true,23.0,23.0,0.286000,,8.590652,[1.1366292637106572],"[250.9121332442455,10.268777332141461]",[955.670625002479],27.197895
rust_no_default_native,scalar_1000,scalar,reaction ~ 1 + days + (1 | subj),true,42,1000,2,100,1,1,1000,5,pattern_search,native,SUCCESS,0.111834,0.112284,0.111584,0.090625,0.014833,0.006209,9861.362625400,9861.362625000,0.000000400,0.009862363,true,23.0,23.0,0.349000,,3.120697,[1.1834226681206668],"[250.20819154865876,9.794158136062864]",[1206.459355124885],29.350565
rust_no_default_native,scalar_5000,scalar,reaction ~ 1 + days + (1 | subj),true,42,5000,2,500,1,1,5000,5,pattern_search,native,SUCCESS,0.542375,0.544192,0.539000,0.460666,0.064542,0.015791,49709.499919363,49709.499919000,0.000000363,0.049710500,true,23.0,23.0,0.663000,,1.222401,[1.3028733515212623],"[249.74671768967897,10.019365119061826]",[1548.2497961098532],30.200791
rust_no_default_native,scalar_10000,scalar,reaction ~ 1 + days + (1 | subj),true,42,10000,2,1000,1,1,10000,5,pattern_search,native,SUCCESS,1.074708,1.084500,1.057125,0.920458,0.124750,0.027917,99333.616318731,99333.616319000,-0.000000269,0.099334616,true,23.0,23.0,1.153000,,1.072850,[1.2973228293123982],"[249.3987852344774,10.065778330546445]",[1522.5827651590316],30.077546
rust_no_default_native,scalar_deep_200x50,scalar,reaction ~ 1 + days + (1 | subj),true,42,10000,2,200,1,1,10000,5,pattern_search,native,SUCCESS,0.843000,0.843567,0.828125,0.804208,0.028416,0.008708,119792.696381879,119792.696382000,-0.000000121,0.119793696,true,24.0,24.0,0.948000,,1.124555,[1.7347573251557762],"[252.36462309680576,9.695321963697548]",[25418.231426239032],91.903899
rust_no_default_native,crossed_small,crossed,reaction ~ 1 + days + (1 + days | subj) + (1 + days | item) + (1 + days | site),true,0,864,2,72,3,9,864,5,trust_bq,native,START_LADDER(diagonal_first:60 evals): FTOL_REACHED,6.459791,6.450767,6.418000,0.196167,3.969083,2.275292,6177.391820801,6177.391766000,0.000054801,0.006178392,true,313.0,313.0,8.572000,320.000000,1.326978,"[1.6371218644448124,0.19970059109823252,0.1654585042841937,1.398978685537938,-0.07671636271781697,0.1951600529452927,0.6269733287983142,-0.03621792813229767,0.1130619071596585]","[245.75725881747448,9.440015116322774]","[158.5479401789058,3.9786438315744936,115.7765975074188,2.6012564326717142,23.25394921693586,0.8337876252825864]",7.691292
rust_no_default_native,crossed_medium,crossed,reaction ~ 1 + days + (1 + days | subj) + (1 + days | item) + (1 + days | site),true,0,3456,2,136,3,9,3456,5,trust_bq,native,START_LADDER(diagonal_first:60 evals): FTOL_REACHED,29.874292,30.000417,29.640500,0.758000,20.279542,8.904916,24348.710097369,24348.710133000,-0.000035631,0.024349710,true,414.0,414.0,88.007000,411.000000,2.945911,"[1.7682351360946074,0.04854431325078137,0.24410655642401027,1.4416990408464432,-0.01520891096851026,0.17694507316506597,0.5592453546122639,0.014067215912367977,0.07156028802517847]","[247.80249714142002,9.582623468761275]","[181.78691647517357,3.601519512600946,120.84586926087532,1.8338181122524384,18.183913699042236,0.3092381725018806]",7.625025
rust_no_default_native,crossed_large,crossed,reaction ~ 1 + days + (1 + days | subj) + (1 + days | item) + (1 + days | site),true,0,10368,2,240,3,9,10368,5,trust_bq,native,START_LADDER(diagonal_first:60 evals): FTOL_REACHED,83.652417,85.523675,83.456875,2.194042,52.790083,29.345375,72320.125946262,72320.124564000,0.001382262,0.072321125,true,336.0,336.0,187.519000,408.000000,2.241645,"[1.7529720800026225,0.10315768278935303,0.2373486438415422,1.42420996026385,-0.03430115717450402,0.19208556446853187,0.5685823635922528,0.023000259772623804,0.07358025958767452]","[249.38868310243723,9.482313743537304]","[174.50586790965625,3.803456959408009,115.18822190842745,2.1621313814356933,18.35890633143027,0.33749755467339926]",7.535811
