"Site","year","shells","Area","prev"
"BS","2004",0,15.2,1
"BS","2005",0,15.2,1
"BS","2006",0,15.2,1
"CB","2004",1,16,4.3
"CB","2005",0,16,8
"CB","2006",1,16,17.6
"Cent","2004",0,6.9,28.6
"Cent","2005",1,6.9,51.9
"Cent","2006",1,6.9,10.7
"CF","2004",9,43.2,80.7
"CF","2005",7,43.2,72.2
"CF","2006",6,43.2,77.8
"FC","2004",0,24.7,1
"FC","2005",0,24.7,3.4
"FC","2006",3,24.7,45.8
"FE","2004",5,39.9,3.3
"FE","2005",1,39.9,1
"FE","2006",1,39.9,1
"GH","2004",3,48.1,32.4
"GH","2005",1,48.1,39.5
"GH","2006",2,48.1,37
"Old","2004",1,29.9,14.3
"Old","2005",1,29.9,25
"Old","2006",3,29.9,78.8
"Ord","2004",4,61,1
"Ord","2005",1,61,1
"Ord","2006",1,61,1.8
"TE","2004",0,5.3,42.9
"TE","2005",0,5.3,47.8
"TE","2006",1,5.3,31.6
