"subj","item","spkr","prec","load","rt_trunc","rt_raw"
"S030","I01","new","break","yes",2267,2267
"S030","I02","old","maintain","no",3856,3856
"S030","I03","old","break","no",1567,1567
"S030","I04","new","maintain","no",1732,1732
"S030","I05","new","break","no",2660,2660
"S030","I06","old","maintain","yes",2763,2763
"S030","I07","old","break","yes",3528,3528
"S030","I08","new","maintain","yes",1741,1741
"S030","I09","new","break","yes",3692,3692
"S030","I10","old","maintain","no",1949,1949
"S030","I11","old","break","no",2189,2189
"S030","I12","new","maintain","no",2207,2207
"S030","I13","new","break","no",2078,2078
"S030","I14","old","maintain","yes",1901,1901
"S030","I15","old","break","yes",4015,4015
"S030","I16","new","maintain","yes",1880,1880
"S030","I17","new","break","yes",1444,1444
"S030","I18","old","maintain","no",1683,1683
"S030","I19","old","break","no",2037,2037
"S030","I20","new","maintain","no",1168,1168
"S030","I21","new","break","no",1930,1930
"S030","I22","old","maintain","yes",1843,1843
"S030","I23","old","break","yes",4969,4969
"S030","I24","new","maintain","yes",1798,1798
"S030","I25","new","break","yes",2436,2436
"S030","I26","old","maintain","no",2018,2018
"S030","I27","old","break","no",2278,2278
"S030","I28","new","maintain","no",1866,1866
"S030","I29","new","break","no",1743,1743
"S030","I30","old","maintain","yes",1963,1963
"S030","I31","old","break","yes",2542,2542
"S030","I32","new","maintain","yes",1460,1460
"S031","I01","new","maintain","no",1126,1126
"S031","I02","new","break","no",2053,2053
"S031","I03","old","maintain","yes",1246,1246
"S031","I04","old","break","yes",4236,4236
"S031","I05","new","maintain","yes",1238,1238
"S031","I06","new","break","yes",2964,2964
"S031","I07","old","maintain","no",1245,1245
"S031","I08","old","break","no",5171,5627
"S031","I09","new","maintain","no",1568,1568
"S031","I10","new","break","no",1028,1028
"S031","I11","old","maintain","yes",1188,1188
"S031","I12","old","break","yes",3529,3529
"S031","I13","new","maintain","yes",1156,1156
"S031","I14","new","break","yes",5171,11234
"S031","I15","old","maintain","no",2753,2753
"S031","I16","old","break","no",2221,2221
"S031","I17","new","maintain","no",1304,1304
"S031","I18","new","break","no",1482,1482
"S031","I19","old","maintain","yes",1616,1616
"S031","I20","old","break","yes",1188,1188
"S031","I21","new","maintain","yes",1209,1209
"S031","I22","new","break","yes",2044,2044
"S031","I23","old","maintain","no",1524,1524
"S031","I24","old","break","no",2979,2979
"S031","I25","new","maintain","no",1254,1254
"S031","I26","new","break","no",3080,3080
"S031","I27","old","maintain","yes",1176,1176
"S031","I28","old","break","yes",1686,1686
"S031","I29","new","maintain","yes",1262,1262
"S031","I30","new","break","yes",1902,1902
"S031","I31","old","maintain","no",1941,1941
