"subj","item","trial","F","P","Q","lQ","lT","rt","speed"
"S01","CAKE",2,"LF","unr","deg","deg","NW",794,1.2594458438287153
"S01","PARTY",3,"HF","unr","clr","deg","WD",506,1.976284584980237
"S01","SPOT",5,"HF","rel","clr","deg","NW",491,2.0366598778004072
"S01","LONG",9,"HF","rel","deg","deg","NW",486,2.05761316872428
"S01","YEAR",10,"HF","unr","deg","deg","WD",482,2.074688796680498
"S01","COUNTRY",11,"HF","rel","clr","deg","WD",542,1.845018450184502
"S01","HAVE",15,"HF","rel","deg","deg","NW",766,1.3054830287206267
"S01","TUSK",21,"LF","unr","deg","clr","NW",993,1.0070493454179255
"S01","CARDS",22,"LF","unr","clr","deg","WD",552,1.8115942028985508
"S01","FIGHT",24,"HF","rel","clr","deg","NW",499,2.004008016032064
"S01","DONKEY",26,"LF","rel","deg","clr","NW",643,1.5552099533437014
"S01","HANGER",27,"LF","unr","deg","deg","WD",904,1.1061946902654867
"S01","FACE",28,"HF","rel","deg","deg","WD",501,1.996007984031936
"S01","VEIN",29,"LF","rel","clr","deg","WD",640,1.5625
"S01","GOAL",30,"LF","rel","clr","clr","WD",484,2.0661157024793386
"S01","HUNGER",34,"LF","rel","clr","clr","NW",497,2.0120724346076457
"S01","NUMBER",38,"HF","rel","deg","clr","NW",618,1.6181229773462784
"S01","UNCLE",39,"HF","rel","clr","deg","WD",816,1.2254901960784315
"S01","SOUND",41,"HF","rel","deg","deg","NW",753,1.3280212483399734
"S01","SIGN",44,"LF","rel","clr","deg","NW",708,1.4124293785310735
"S01","GIVE",48,"HF","unr","deg","deg","NW",548,1.8248175182481752
"S01","WALK",51,"HF","unr","deg","deg","NW",766,1.3054830287206267
"S01","CENTER",53,"HF","unr","clr","deg","NW",626,1.597444089456869
"S01","HOSTAGE",54,"LF","unr","deg","clr","WD",568,1.7605633802816902
"S01","SHIRT",56,"LF","unr","clr","deg","NW",501,1.996007984031936
"S01","KNOW",57,"HF","unr","clr","clr","WD",544,1.838235294117647
"S01","DUMB",60,"LF","unr","deg","deg","NW",606,1.6501650165016502
"S01","FIGURE",62,"HF","rel","clr","deg","NW",440,2.272727272727273
"S01","VISION",63,"HF","rel","deg","clr","WD",804,1.243781094527363
"S01","HARD",64,"HF","rel","deg","deg","WD",532,1.8796992481203008
"S01","SKIN",65,"LF","unr","deg","deg","WD",494,2.0242914979757085
"S01","SODA",68,"LF","rel","clr","clr","NW",460,2.1739130434782608
"S01","HEAD",71,"HF","unr","clr","clr","NW",499,2.004008016032064
"S01","HABIT",72,"LF","unr","clr","clr","WD",719,1.3908205841446453
"S01","BOARD",73,"HF","unr","deg","clr","WD",737,1.3568521031207599
"S01","WRITE",79,"HF","rel","clr","deg","NW",486,2.05761316872428
"S01","WITCH",82,"LF","unr","clr","deg","NW",562,1.7793594306049823
"S01","GAMBLE",83,"HF","unr","clr","clr","WD",587,1.7035775127768313
"S01","POLE",84,"LF","unr","deg","clr","WD",722,1.3850415512465375
"S01","NURSE",85,"LF","rel","deg","deg","WD",549,1.8214936247723132
"S01","CASE",90,"HF","unr","clr","deg","NW",588,1.7006802721088434
"S01","WORD",91,"HF","unr","clr","clr","WD",484,2.0661157024793386
"S01","BLACK",99,"HF","rel","deg","clr","NW",506,1.976284584980237
"S01","SMART",102,"LF","rel","deg","deg","WD",573,1.7452006980802792
"S01","LOCK",105,"LF","unr","deg","clr","NW",657,1.5220700152207
"S01","PINT",106,"LF","unr","clr","deg","WD",630,1.5873015873015872
"S01","SNAKE",107,"LF","unr","deg","clr","WD",637,1.5698587127158556
"S01","GARDEN",109,"HF","rel","deg","deg","NW",748,1.3368983957219251
"S01","RIGHT",111,"HF","unr","clr","clr","NW",456,2.192982456140351
"S01","CITY",112,"HF","rel","clr","clr","WD",549,1.8214936247723132
"S01","PRESENT",117,"HF","unr","clr","deg","NW",569,1.757469244288225
"S01","BREATH",119,"HF","unr","clr","deg","NW",528,1.893939393939394
"S01","PEOPLE",120,"HF","rel","deg","clr","WD",522,1.9157088122605364
"S01","GONE",123,"HF","unr","clr","clr","NW",656,1.524390243902439
"S01","OCEAN",125,"LF","unr","deg","deg","NW",496,2.0161290322580645
"S01","GUILT",126,"LF","rel","clr","deg","WD",715,1.3986013986013985
"S01","JOKE",133,"LF","unr","clr","deg","NW",509,1.9646365422396856
