"ID_focal_following_caller","chorus_ID","did_focal_follower_overlap_preceding_call_YN","IOI_duration_preceding_focal_call","focal_svl","focal_mass","focal_toe_clip_number","preceding_caller_svl","preceding_caller_mass","preceding_caller_focal_toe_clip_number","max_freq","min_freq","after_knee_amplitude_skewness","min_last_150","distance"
"210927_001_Tr3","210927_001",1,1.532531311,26.92,1.642,"3300",25.88,1.528,"3000",951.5480041,490.1451692,-0.31296651,0.180375479,1.7
"210927_001_Tr3","210927_001",1,1.637022082,26.92,1.642,"3300",25.88,1.528,"3000",951.5480041,490.1451692,-0.31296651,0.180375479,1.7
"210927_001_Tr5","210927_001",1,1.578971654,25.27,1.728,"3010",25.88,1.528,"3000",951.5480041,490.1451692,-0.31296651,0.180375479,1.7
"210927_001_Tr3","210927_001",1,2.054985167,26.92,1.642,"3300",25.88,1.528,"3000",951.5480041,490.1451692,-0.31296651,0.180375479,1.7
"210927_001_Tr3","210927_001",1,1.683462425,26.92,1.642,"3300",25.88,1.528,"3000",951.5480041,490.1451692,-0.31296651,0.180375479,1.7
"210927_001_Tr2","210927_001",1,1.4280405,27.95,2.339,"3200",25.88,1.528,"3000",951.5480041,490.1451692,-0.31296651,0.180375479,1
"210927_001_Tr3","210927_001",1,1.706682597,26.92,1.642,"3300",25.88,1.528,"3000",951.5480041,490.1451692,-0.31296651,0.180375479,1.7
"210927_001_Tr4","210927_001",1,1.764733025,25.63,1.646,"3400",25.88,1.528,"3000",951.5480041,490.1451692,-0.31296651,0.180375479,2
"210927_001_Tr4","210927_001",1,2.438117995,25.63,1.646,"3400",25.88,1.528,"3000",951.5480041,490.1451692,-0.31296651,0.180375479,2
"210927_001_Tr4","210927_001",1,2.147865853,25.63,1.646,"3400",25.88,1.528,"3000",951.5480041,490.1451692,-0.31296651,0.180375479,2
"210927_001_Tr5","210927_001",1,2.008544825,25.27,1.728,"3010",25.88,1.528,"3000",951.5480041,490.1451692,-0.31296651,0.180375479,1.7
"210927_001_Tr5","210927_001",1,1.927274225,25.27,1.728,"3010",25.88,1.528,"3000",951.5480041,490.1451692,-0.31296651,0.180375479,1.7
